time,fold,gross_pnl_bps,cost_bps,net_pnl_bps,turnover,gross_exposure,n_long_total,n_short_total,n_symbols
2026-04-12 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-12 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-12 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-12 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-12 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-12 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-13 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-13 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-13 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-13 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-13 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-13 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-14 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-14 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-14 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-14 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-14 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-14 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-15 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-15 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-15 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-15 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-15 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-15 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-16 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-16 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-16 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-16 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-16 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-16 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-17 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-17 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-17 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-17 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-17 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-17 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-18 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-18 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-18 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-18 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-18 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-18 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-19 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-19 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-19 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-19 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-19 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-19 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-20 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-20 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-20 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-20 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-20 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-20 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-21 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-21 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-21 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-21 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-21 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-21 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-22 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-22 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-22 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-22 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-22 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-22 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-23 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-23 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-23 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-23 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-23 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-23 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-24 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-24 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-24 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-24 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-24 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-24 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-25 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-25 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-25 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-25 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-25 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-25 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-26 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-26 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-26 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-26 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-26 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-26 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-27 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-27 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-27 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-27 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-27 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-27 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-28 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-28 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-28 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-28 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-28 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-28 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-29 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-29 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-29 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-29 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-29 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-29 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-30 00:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-30 04:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-30 08:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-30 12:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-30 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-30 20:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0,0,0,0
